Namespace(activation_fn='gelu', base_channel=32, base_sigma=0.0, batch={8: 256, 16: 256, 32: 128, 64: 128, 128: 64, 256: 32}, batch_default=128, bn=False, ckpt=None, conditional=True, cyclic=False, data_root='./data/', dataset='cifar10', device=0, eval_step=50, from_beginning=False, from_rgb_activate=False, init_size=8, initial='uniform', l2_coefficient=0.0, langevin_lr=2.0, langevin_step=50, load=False, lr={8: 0.001, 16: 0.0012, 32: 0.0015, 64: 0.0015, 128: 0.0015}, lr_default=0.0005, max_size=32, mode='train', name_suffix='step', noise_ratio=1.0, phase=1000000, pro=True, projection=True, res=True, run_dir='results/cifar10_step/00000-step50-trunc1.0-res32-lr2.0-uniform-ch32', save_path='results', sched=True, soft=True, spectral=True, split_bn=False, stats_path='./stats/cifar10.npz', truncation=1.0, val_clip=1.1)
Itr:      0 Kimg:        0, Alpha: 1.00, Res:   8, f(x_p_d)=  0.0737 f(x_q)=  0.3366
Itr:    100 Kimg:       25, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2624 f(x_q)=  0.3173
Itr:    200 Kimg:       51, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2858 f(x_q)=  0.2823
Itr:    300 Kimg:       77, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2786 f(x_q)=  0.2654
Itr:    400 Kimg:      102, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2721 f(x_q)=  0.2937
Itr:    500 Kimg:      128, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2443 f(x_q)=  0.2341
Itr:    600 Kimg:      153, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2437 f(x_q)=  0.2447
Itr:    700 Kimg:      179, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2835 f(x_q)=  0.3224
Itr:    800 Kimg:      205, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2360 f(x_q)=  0.3192
Itr:    900 Kimg:      230, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2508 f(x_q)=  0.2579
Itr:   1000 Kimg:      256, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2489 f(x_q)=  0.1927
Itr:   1100 Kimg:      281, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2590 f(x_q)=  0.2224
Itr:   1200 Kimg:      307, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2558 f(x_q)=  0.3275
Itr:   1300 Kimg:      333, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2757 f(x_q)=  0.2821
Itr:   1400 Kimg:      358, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2500 f(x_q)=  0.2107
Itr:   1500 Kimg:      384, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2558 f(x_q)=  0.2529
Itr:   1600 Kimg:      409, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2537 f(x_q)=  0.2645
Itr:   1700 Kimg:      435, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2047 f(x_q)=  0.1343
Itr:   1800 Kimg:      461, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2696 f(x_q)=  0.2706
Itr:   1900 Kimg:      486, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2232 f(x_q)=  0.1849
Itr:   2000 Kimg:      512, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2803 f(x_q)=  0.2876
Calculate FID...
Itr:   2000, FID:   220.951
Itr:   2100 Kimg:      537, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2562 f(x_q)=  0.2766
Itr:   2200 Kimg:      563, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2782 f(x_q)=  0.2572
Itr:   2300 Kimg:      589, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2642 f(x_q)=  0.2712
Itr:   2400 Kimg:      614, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2374 f(x_q)=  0.1998
Itr:   2500 Kimg:      640, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2192 f(x_q)=  0.1766
Itr:   2600 Kimg:      665, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2543 f(x_q)=  0.3275
Itr:   2700 Kimg:      691, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2310 f(x_q)=  0.2486
Itr:   2800 Kimg:      717, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2707 f(x_q)=  0.3478
Itr:   2900 Kimg:      742, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2355 f(x_q)=  0.2131
Itr:   3000 Kimg:      768, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2321 f(x_q)=  0.2624
Itr:   3100 Kimg:      793, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2631 f(x_q)=  0.2693
Itr:   3200 Kimg:      819, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2533 f(x_q)=  0.2464
Itr:   3300 Kimg:      845, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2600 f(x_q)=  0.2150
Itr:   3400 Kimg:      870, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2449 f(x_q)=  0.2787
Itr:   3500 Kimg:      896, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2061 f(x_q)=  0.1307
Itr:   3600 Kimg:      921, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2539 f(x_q)=  0.2627
Itr:   3700 Kimg:      947, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2881 f(x_q)=  0.3364
Itr:   3800 Kimg:      973, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2059 f(x_q)=  0.1648
Itr:   3900 Kimg:      998, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2412 f(x_q)=  0.2125
Itr:   4000 Kimg:     1024, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2350 f(x_q)=  0.2493
Calculate FID...
Itr:   4000, FID:   213.011
Itr:   4100 Kimg:     1049, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2707 f(x_q)=  0.2725
Itr:   4200 Kimg:     1075, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2573 f(x_q)=  0.1903
Itr:   4300 Kimg:     1101, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2380 f(x_q)=  0.1860
Itr:   4400 Kimg:     1126, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2538 f(x_q)=  0.2575
Itr:   4500 Kimg:     1152, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2604 f(x_q)=  0.2500
Itr:   4600 Kimg:     1177, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2753 f(x_q)=  0.2890
Itr:   4700 Kimg:     1203, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2677 f(x_q)=  0.3253
Itr:   4800 Kimg:     1229, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2523 f(x_q)=  0.2332
Itr:   4900 Kimg:     1254, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2359 f(x_q)=  0.2332
Itr:   5000 Kimg:     1280, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2498 f(x_q)=  0.2359
Itr:   5100 Kimg:     1305, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2899 f(x_q)=  0.2351
Itr:   5200 Kimg:     1331, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2561 f(x_q)=  0.2630
Itr:   5300 Kimg:     1357, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2305 f(x_q)=  0.1941
Itr:   5400 Kimg:     1382, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2379 f(x_q)=  0.1741
Itr:   5500 Kimg:     1408, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2276 f(x_q)=  0.1889
Itr:   5600 Kimg:     1433, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2585 f(x_q)=  0.2506
Itr:   5700 Kimg:     1459, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2797 f(x_q)=  0.2302
Itr:   5800 Kimg:     1485, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2334 f(x_q)=  0.2549
Itr:   5900 Kimg:     1510, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2646 f(x_q)=  0.2497
Itr:   6000 Kimg:     1536, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2635 f(x_q)=  0.2389
Calculate FID...
Itr:   6000, FID:   190.190
Itr:   6100 Kimg:     1561, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2837 f(x_q)=  0.2416
Itr:   6200 Kimg:     1587, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2785 f(x_q)=  0.2863
Itr:   6300 Kimg:     1613, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2849 f(x_q)=  0.3475
Itr:   6400 Kimg:     1638, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2826 f(x_q)=  0.3225
Itr:   6500 Kimg:     1664, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2859 f(x_q)=  0.3076
Itr:   6600 Kimg:     1689, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2802 f(x_q)=  0.3171
Itr:   6700 Kimg:     1715, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2884 f(x_q)=  0.3391
Itr:   6800 Kimg:     1741, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2878 f(x_q)=  0.2795
Itr:   6900 Kimg:     1766, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2644 f(x_q)=  0.2441
Itr:   7000 Kimg:     1792, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2711 f(x_q)=  0.2550
Itr:   7100 Kimg:     1817, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2643 f(x_q)=  0.2484
Itr:   7200 Kimg:     1843, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2611 f(x_q)=  0.2651
Itr:   7300 Kimg:     1869, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2952 f(x_q)=  0.3321
Itr:   7400 Kimg:     1894, Alpha: 1.00, Res:   8, f(x_p_d)=  0.2940 f(x_q)=  0.2893
